name,label
ALSPAC,ALSPAC
GUI,GUI
MCS,MCS
Quest,Quest
SNAP,SNAP
TEDS,TEDS
k_families,1K Fam.
lsac_b,LSAC B
lsac_k,LSAC K
Overall,Overall
Variable,Variable
Summary,Summary
